RCS,DATE,EFFECTIFS,NATURE
507385680,2021-01-06,12,jugement de conversion en liquidation judiciaire
752677518,2021-01-12,12,jugement de conversion en liquidation judiciaire
807422225,2021-01-13,12,jugement de clôture pour insuffisance d'actif
421591777,2021-01-07,12,jugement de conversion en liquidation judiciaire
501256622,2021-01-19,12,jugement de clôture pour insuffisance d'actif
827501230,2021-01-25,12,jugement de clôture pour insuffisance d'actif
514465798,2021-01-12,12,jugement d'ouverture de liquidation judiciaire
800502544,2021-01-12,12,jugement de clôture pour insuffisance d'actif
432631810,2021-01-20,12,jugement de conversion en liquidation judiciaire
803046101,2021-01-20,12,jugement de conversion en liquidation judiciaire
497514661,2021-01-19,12,jugement d'ouverture de liquidation judiciaire
828210666,2021-01-20,12,jugement de clôture pour insuffisance d'actif
809743263,2021-01-20,12,jugement d'ouverture de liquidation judiciaire
491003810,2021-01-22,12,jugement de conversion en liquidation judiciaire
311350409,2021-01-12,12,jugement de conversion en liquidation judiciaire
491499034,2021-01-18,12,jugement de conversion en liquidation judiciaire
491256210,2021-01-26,12,jugement de clôture pour insuffisance d'actif
842295818,2021-01-26,12,jugement d'ouverture de liquidation judiciaire
808859243,2021-01-26,12,jugement de conversion en liquidation judiciaire
834723975,2021-02-02,12,jugement d'ouverture de liquidation judiciaire
478417405,2021-01-21,12,jugement de clôture pour insuffisance d'actif
792198764,2021-01-20,12,jugement de clôture pour insuffisance d'actif
328723663,2021-02-02,12,jugement de conversion en liquidation judiciaire
821370780,2021-02-02,12,jugement de conversion en liquidation judiciaire
788981330,2021-01-27,12,jugement de conversion en liquidation judiciaire
344448584,2021-01-28,12,jugement de conversion en liquidation judiciaire
819729096,2021-01-27,12,jugement d'ouverture de liquidation judiciaire
814295978,2021-01-28,12,jugement d'ouverture de liquidation judiciaire
824693899,2021-01-29,12,jugement d'ouverture de liquidation judiciaire
534345426,2021-01-21,12,jugement de clôture pour insuffisance d'actif
800864480,2021-02-01,12,jugement de clôture pour insuffisance d'actif
422242784,2021-02-04,12,jugement de conversion en liquidation judiciaire
387537350,2021-02-02,12,jugement de conversion en liquidation judiciaire
421951799,2021-02-04,12,jugement d'ouverture de liquidation judiciaire
793277450,2021-02-03,12,jugement d'ouverture de liquidation judiciaire
430449694,2021-02-03,12,jugement d'ouverture de liquidation judiciaire
404441719,2021-02-11,12,jugement de conversion en liquidation judiciaire
393439930,2021-01-28,12,jugement d'ouverture de liquidation judiciaire
417968013,2021-01-21,12,jugement de clôture pour insuffisance d'actif
828414680,2021-02-09,12,jugement d'ouverture de liquidation judiciaire
531307247,2021-01-28,12,jugement de conversion en liquidation judiciaire
422877068,2021-02-05,12,jugement d'ouverture de liquidation judiciaire
492397120,2021-02-05,12,jugement de conversion en liquidation judiciaire
315945709,2021-01-27,12,jugement d'ouverture de liquidation judiciaire
494094147,2021-02-09,12,jugement de clôture pour insuffisance d'actif
499984094,2021-01-26,12,jugement de conversion en liquidation judiciaire
508450251,2021-01-28,12,jugement de clôture pour insuffisance d'actif
834310120,2021-02-11,12,jugement de clôture pour insuffisance d'actif
339470122,2021-02-05,12,jugement de clôture pour insuffisance d'actif
833912033,2021-02-09,12,jugement d'ouverture de liquidation judiciaire
825269186,2021-02-10,12,jugement d'ouverture de liquidation judiciaire
414445635,2021-02-15,12,jugement de clôture pour insuffisance d'actif
753232560,2021-02-05,12,jugement de conversion en liquidation judiciaire
338642788,2021-02-12,12,jugement de conversion en liquidation judiciaire
834178980,2021-02-12,12,jugement de clôture pour insuffisance d'actif
308620236,2021-02-23,12,jugement de clôture pour insuffisance d'actif
712028331,2021-02-17,12,jugement de clôture pour insuffisance d'actif
752109157,2021-02-09,12,jugement de clôture pour insuffisance d'actif
753364595,2021-02-17,12,jugement de conversion en liquidation judiciaire
491112769,2021-02-16,12,jugement de conversion en liquidation judiciaire
491257606,2021-02-16,12,jugement d'ouverture de liquidation judiciaire
512707936,2021-02-23,12,jugement de clôture pour insuffisance d'actif
432804102,2021-02-16,12,jugement d'extension de liquidation judiciaire
799139928,2021-02-16,12,jugement de conversion en liquidation judiciaire
432804102,2021-02-16,12,jugement de conversion en liquidation judiciaire
494796741,2021-03-02,12,jugement de conversion en liquidation judiciaire
415150655,2021-03-02,12,jugement de conversion en liquidation judiciaire
440184604,2021-02-25,12,jugement de conversion en liquidation judiciaire
817953193,2021-02-25,12,jugement d'ouverture de liquidation judiciaire
437939697,2021-02-26,12,jugement d'extension d'une procédure de redressement judiciaire
350502548,2021-02-05,12,jugement d'ouverture de liquidation judiciaire
423665876,2021-02-05,12,jugement d'ouverture de liquidation judiciaire
791976020,2021-01-26,12,jugement d'ouverture de liquidation judiciaire
421322827,2021-03-01,12,jugement d'ouverture de liquidation judiciaire
350188140,2021-03-01,12,jugement de conversion en liquidation judiciaire
794969634,2021-03-01,12,jugement de conversion en liquidation judiciaire
805086196,2021-02-23,12,jugement de conversion en liquidation judiciaire
480703420,2021-03-09,12,jugement de conversion en liquidation judiciaire
483655817,2021-03-04,12,jugement de conversion en liquidation judiciaire
492236997,2021-02-23,12,jugement de conversion en liquidation judiciaire
795360635,2021-03-09,12,jugement d'ouverture de liquidation judiciaire
794838060,2021-03-04,12,jugement de conversion en liquidation judiciaire de la procédure de sauvegarde
794459628,2021-03-08,12,jugement de conversion en liquidation judiciaire
534637087,2021-03-09,12,jugement d'ouverture de liquidation judiciaire
810229237,2021-03-04,12,jugement de clôture pour insuffisance d'actif
423438084,2021-03-03,12,jugement de conversion en liquidation judiciaire
492087093,2021-03-03,12,jugement de conversion en liquidation judiciaire
821212925,2021-03-04,12,jugement de conversion en liquidation judiciaire
509609426,2021-03-04,12,jugement d'ouverture de liquidation judiciaire
534757646,2021-02-25,12,jugement d'ouverture de liquidation judiciaire
316203140,2021-03-09,12,jugement de conversion en liquidation judiciaire
418639142,2021-03-09,12,jugement de clôture pour insuffisance d'actif
380874974,2021-03-04,12,jugement de conversion en liquidation judiciaire
381041359,2021-03-04,12,jugement de conversion en liquidation judiciaire
400466512,2021-03-04,12,jugement de conversion en liquidation judiciaire
500750112,2021-03-05,12,jugement de conversion en liquidation judiciaire
793187634,2021-03-08,12,jugement d'ouverture de liquidation judiciaire
829048842,2021-03-10,12,jugement de conversion en liquidation judiciaire
792480048,2021-03-08,12,jugement d'ouverture de liquidation judiciaire
304010176,2021-03-11,12,jugement de conversion en liquidation judiciaire
812715092,2021-03-04,12,jugement d'ouverture de liquidation judiciaire
387695018,2021-03-11,12,jugement de conversion en liquidation judiciaire de la procédure de sauvegarde
622820447,2021-03-15,12,jugement d'ouverture de liquidation judiciaire
810766436,2021-03-17,12,jugement d'ouverture de liquidation judiciaire
636820441,2021-03-23,12,jugement d'ouverture de liquidation judiciaire
815299979,2021-03-23,12,jugement d'ouverture de liquidation judiciaire
334301967,2021-03-18,12,jugement de conversion en liquidation judiciaire
508782968,2021-03-09,12,jugement d'ouverture de liquidation judiciaire
350737912,2021-03-23,12,jugement de conversion en liquidation judiciaire
489294181,2021-03-19,12,jugement de clôture pour insuffisance d'actif
338376585,2021-03-19,12,jugement de clôture pour insuffisance d'actif
308486026,2021-03-19,12,jugement de clôture pour insuffisance d'actif
350068193,2021-03-12,12,jugement de conversion en liquidation judiciaire
317400331,2021-03-22,12,jugement de conversion en liquidation judiciaire
528042765,2021-03-22,12,jugement d'ouverture de liquidation judiciaire
571920644,2021-03-24,12,jugement de conversion en liquidation judiciaire
805051364,2021-03-25,12,jugement de clôture pour insuffisance d'actif
808639249,2021-03-25,12,jugement de clôture pour insuffisance d'actif
832479778,2021-03-31,12,jugement de clôture pour insuffisance d'actif
334557345,2021-03-19,12,jugement de conversion en liquidation judiciaire
387760523,2021-04-06,12,jugement de conversion en liquidation judiciaire
539994475,2021-03-31,12,jugement de conversion en liquidation judiciaire
311067623,2021-04-01,12,jugement de conversion en liquidation judiciaire
808891436,2021-04-06,12,jugement de conversion en liquidation judiciaire
789268042,2021-03-17,12,jugement de conversion en liquidation judiciaire
493166383,2021-04-08,12,jugement de conversion en liquidation judiciaire
518920145,2021-03-23,12,jugement de conversion en liquidation judiciaire
833475361,2021-03-24,12,jugement d'ouverture de liquidation judiciaire
794894188,2021-03-31,12,jugement d'ouverture de liquidation judiciaire
814838546,2021-03-30,12,jugement de clôture pour insuffisance d'actif
812409480,2021-03-31,12,jugement d'ouverture de liquidation judiciaire
449810431,2021-04-07,12,jugement de conversion en liquidation judiciaire
833703929,2021-03-18,12,jugement d'ouverture de liquidation judiciaire
530938448,2021-03-18,12,jugement de conversion en liquidation judiciaire
753471523,2021-03-31,12,jugement de clôture pour insuffisance d'actif
354066730,2021-04-07,12,jugement de conversion en liquidation judiciaire
434120655,2021-03-30,12,jugement de clôture pour insuffisance d'actif
811693670,2021-04-07,12,jugement d'ouverture de liquidation judiciaire
820274538,2021-04-14,12,jugement d'ouverture de liquidation judiciaire
330842394,2021-04-06,12,jugement de conversion en liquidation judiciaire
381624311,2021-04-06,12,jugement de conversion en liquidation judiciaire
499175966,2021-04-07,12,jugement d'ouverture de liquidation judiciaire
421133802,2021-04-07,12,jugement d'ouverture de liquidation judiciaire
798818118,2021-03-16,12,jugement de clôture pour insuffisance d'actif
428823686,2021-04-07,12,jugement de conversion en liquidation judiciaire
799378856,2021-04-07,12,jugement de conversion en liquidation judiciaire
791241912,2021-04-01,12,jugement d'ouverture de liquidation judiciaire
307336727,2021-04-13,12,jugement de conversion en liquidation judiciaire
