SIREN,SIRET,NOM,EFFECTIF,CP,VILLE1,PAYS
349352351,34935235100051,SAGOP OUTILLAGES,11,89100,SAINT-CLEMENT,NULL
351226055,35122605500033,SARL BACHELOT CONCEPT,11,53400,CRAON,NULL
380737734,38073773400026,SCIES ET TECHNIQUES BRETAGNE,11,35140,SAINT-AUBIN-DU-CORMIER,NULL
382253060,38225306000018,ACCESSOIRES DE PRESSE,11,59760,GRANDE-SYNTHE,NULL
393382106,39338210600036,PRISMA SARL,11,44160,PONTCHATEAU,NULL
404238206,40423820600035,AMIDEC,11,25220,THISE,NULL
404724841,40472484100030,CLEZARDIN MACHINES ET OUTILLAGES,11,41500,MER,NULL
409893443,40989344300153,FIVES MACHINING,11,38600,FONTAINE,NULL
418047288,41804728800018,HAINBUCH FRANCE,11,39570,PERRIGNY,NULL
418407466,41840746600022,RAVNI TECHNOLOGIES,11,42230,ROCHE-LA-MOLIERE,NULL
431772490,43177249000048,ACXYS TECHNOLOGIES,11,38950,SAINT-MARTIN-LE-VINOUX,NULL
453962177,45396217700037,MANURHIN K'MX,11,68520,BURNHAUPT-LE-HAUT,NULL
473502508,47350250800020,HACO,11,59930,LA CHAPELLE D'ARMENTIERES,NULL
479843336,47984333600013,SOCIETE DE REPARATIONS MECANIQUES,11,14200,HEROUVILLE-SAINT-CLAIR,NULL
492682638,49268263800019,FABRICATIONS INDUSTRIELLES RENOVATION SYSTEMES TECHNIQUES,11,86220,LEUGNY,NULL
602017923,60201792300015,SOCIETE DES ETABLISSEMENTS POUGET,11,93240,STAINS,NULL
800035305,80003530500039,TDR GROUPE,11,59167,LALLAING,NULL
812994481,81299448100024,SOCIETE NOUVELLE SOCOPRESSES,11,18500,MEHUN-SUR-YEVRE,NULL
818923021,81892302100021,MAPE RGA,11,38120,SAINT-EGREVE,NULL
973501547,97350154700036,L.G.B MACHINES,11,69100,VILLEURBANNE,NULL
56806425,5680642500015,METAUX MOTEURS POMPES INDUSTRIES,03,13014,MARSEILLE 14,NULL
